,発注日,商品番号,商品名,単価,在庫,注文数,カテゴリー
0,2016-03-06,YY4HAAZR,商品サンプル YY4HAAZR,780,20,24,弁当
1,2017-05-31,YY4HAAZR,商品サンプル YY4HAAZR,780,10,0,弁当
2,2021-12-11,YY4HAAZR,商品サンプル YY4HAAZR,780,50,36,弁当
3,2016-09-15,YY4HAAZR,商品サンプル YY4HAAZR,780,5,54,弁当
4,2024-01-18,YY4HAAZR,商品サンプル YY4HAAZR,780,20,24,弁当
5,2018-12-28,YY4HAAZR,商品サンプル YY4HAAZR,780,0,42,弁当
6,2015-12-05,YY4HAAZR,商品サンプル YY4HAAZR,780,50,18,弁当
7,2015-02-01,YY4HAAZR,商品サンプル YY4HAAZR,780,10,60,弁当
8,2024-07-29,YY4HAAZR,商品サンプル YY4HAAZR,780,5,48,弁当
9,2024-10-14,YY4HAAZR,商品サンプル YY4HAAZR,780,25,42,弁当
10,2021-07-31,YY4HAAZR,商品サンプル YY4HAAZR,780,25,30,弁当
11,2015-07-05,YY4HAAZR,商品サンプル YY4HAAZR,780,50,18,弁当
12,2017-03-08,YY4HAAZR,商品サンプル YY4HAAZR,780,10,42,弁当
13,2023-04-25,YY4HAAZR,商品サンプル YY4HAAZR,780,20,18,弁当
14,2024-04-23,YY4HAAZR,商品サンプル YY4HAAZR,780,50,6,弁当
15,2017-05-16,YY4HAAZR,商品サンプル YY4HAAZR,780,40,60,弁当
16,2018-06-23,YY4HAAZR,商品サンプル YY4HAAZR,780,35,18,弁当
17,2015-03-27,Z4WOOIYV,商品サンプル Z4WOOIYV,90,45,12,飲料水
18,2024-04-12,Z4WOOIYV,商品サンプル Z4WOOIYV,90,35,24,飲料水
19,2020-05-08,Z4WOOIYV,商品サンプル Z4WOOIYV,90,10,36,飲料水
20,2022-03-21,Z4WOOIYV,商品サンプル Z4WOOIYV,90,15,54,飲料水
21,2023-12-16,Z4WOOIYV,商品サンプル Z4WOOIYV,90,0,6,飲料水
22,2024-08-29,Z4WOOIYV,商品サンプル Z4WOOIYV,90,35,0,飲料水
23,2023-11-07,Z4WOOIYV,商品サンプル Z4WOOIYV,90,25,48,飲料水
24,2020-05-03,Z4WOOIYV,商品サンプル Z4WOOIYV,90,20,42,飲料水
25,2022-10-24,Z4WOOIYV,商品サンプル Z4WOOIYV,90,5,24,飲料水
26,2017-10-09,Z4WOOIYV,商品サンプル Z4WOOIYV,90,45,54,飲料水
27,2023-12-30,Z4WOOIYV,商品サンプル Z4WOOIYV,90,25,12,飲料水
28,2022-09-06,Z4WOOIYV,商品サンプル Z4WOOIYV,90,10,6,飲料水
29,2021-12-11,Z4WOOIYV,商品サンプル Z4WOOIYV,90,0,0,飲料水
30,2016-11-07,Z4WOOIYV,商品サンプル Z4WOOIYV,90,25,30,飲料水
31,2020-02-12,Z4WOOIYV,商品サンプル Z4WOOIYV,90,50,24,飲料水
32,2018-12-05,Z4WOOIYV,商品サンプル Z4WOOIYV,90,25,0,飲料水
33,2018-06-25,Z4WOOIYV,商品サンプル Z4WOOIYV,90,30,12,飲料水
34,2016-02-21,Z4WOOIYV,商品サンプル Z4WOOIYV,90,20,60,飲料水
35,2023-12-10,Z4WOOIYV,商品サンプル Z4WOOIYV,90,35,30,飲料水
36,2019-04-05,Z4WOOIYV,商品サンプル Z4WOOIYV,90,0,42,飲料水
37,2016-01-30,Z4WOOIYV,商品サンプル Z4WOOIYV,90,5,48,飲料水
38,2023-10-19,Z4WOOIYV,商品サンプル Z4WOOIYV,90,5,24,飲料水
39,2022-10-26,1QJFO8QY,商品サンプル 1QJFO8QY,600,5,24,弁当
40,2016-06-10,1QJFO8QY,商品サンプル 1QJFO8QY,600,40,24,弁当
41,2021-03-10,1QJFO8QY,商品サンプル 1QJFO8QY,600,25,48,弁当
42,2022-03-21,1QJFO8QY,商品サンプル 1QJFO8QY,600,15,48,弁当
43,2018-04-25,1QJFO8QY,商品サンプル 1QJFO8QY,600,45,48,弁当
44,2018-11-12,1QJFO8QY,商品サンプル 1QJFO8QY,600,45,60,弁当
45,2022-01-29,1QJFO8QY,商品サンプル 1QJFO8QY,600,50,60,弁当
46,2024-12-23,1QJFO8QY,商品サンプル 1QJFO8QY,600,25,18,弁当
47,2018-09-04,1QJFO8QY,商品サンプル 1QJFO8QY,600,40,48,弁当
48,2020-08-12,1QJFO8QY,商品サンプル 1QJFO8QY,600,10,12,弁当
49,2024-11-27,1QJFO8QY,商品サンプル 1QJFO8QY,600,15,36,弁当
50,2016-11-11,1QJFO8QY,商品サンプル 1QJFO8QY,600,10,0,弁当
51,2023-03-12,1QJFO8QY,商品サンプル 1QJFO8QY,600,30,30,弁当
52,2023-08-15,1QJFO8QY,商品サンプル 1QJFO8QY,600,30,24,弁当
53,2016-12-18,1QJFO8QY,商品サンプル 1QJFO8QY,600,5,24,弁当
54,2017-11-25,1QJFO8QY,商品サンプル 1QJFO8QY,600,50,36,弁当
55,2017-02-22,1QJFO8QY,商品サンプル 1QJFO8QY,600,35,6,弁当
56,2015-09-22,1QJFO8QY,商品サンプル 1QJFO8QY,600,40,30,弁当
57,2020-10-17,1QJFO8QY,商品サンプル 1QJFO8QY,600,0,24,弁当
58,2023-05-20,1QJFO8QY,商品サンプル 1QJFO8QY,600,25,12,弁当
59,2023-03-12,1QJFO8QY,商品サンプル 1QJFO8QY,600,25,0,弁当
60,2015-03-20,1QJFO8QY,商品サンプル 1QJFO8QY,600,40,36,弁当
61,2021-11-27,1QJFO8QY,商品サンプル 1QJFO8QY,600,50,54,弁当
62,2015-10-14,1QJFO8QY,商品サンプル 1QJFO8QY,600,35,54,弁当
63,2021-08-20,1QJFO8QY,商品サンプル 1QJFO8QY,600,50,12,弁当
64,2020-11-22,1QJFO8QY,商品サンプル 1QJFO8QY,600,35,54,弁当
65,2017-05-14,1QJFO8QY,商品サンプル 1QJFO8QY,600,20,54,弁当
66,2020-04-19,1QJFO8QY,商品サンプル 1QJFO8QY,600,5,54,弁当
67,2017-11-15,1QJFO8QY,商品サンプル 1QJFO8QY,600,25,48,弁当
68,2018-05-27,1QJFO8QY,商品サンプル 1QJFO8QY,600,50,48,弁当
69,2018-11-16,1QJFO8QY,商品サンプル 1QJFO8QY,600,5,60,弁当
70,2021-08-02,1QJFO8QY,商品サンプル 1QJFO8QY,600,10,42,弁当
71,2016-01-06,MESUDVWQ,商品サンプル MESUDVWQ,660,10,42,菓子類
72,2017-09-12,MESUDVWQ,商品サンプル MESUDVWQ,660,45,48,菓子類
73,2022-11-30,MESUDVWQ,商品サンプル MESUDVWQ,660,0,54,菓子類
74,2020-02-17,MESUDVWQ,商品サンプル MESUDVWQ,660,25,48,菓子類
75,2017-10-11,MESUDVWQ,商品サンプル MESUDVWQ,660,20,54,菓子類
76,2023-03-07,MESUDVWQ,商品サンプル MESUDVWQ,660,5,18,菓子類
77,2015-07-10,MESUDVWQ,商品サンプル MESUDVWQ,660,10,54,菓子類
78,2018-04-01,MESUDVWQ,商品サンプル MESUDVWQ,660,40,60,菓子類
79,2018-10-28,MESUDVWQ,商品サンプル MESUDVWQ,660,45,54,菓子類
80,2022-04-15,MESUDVWQ,商品サンプル MESUDVWQ,660,25,48,菓子類
81,2019-05-28,MESUDVWQ,商品サンプル MESUDVWQ,660,10,6,菓子類
82,2019-04-13,MESUDVWQ,商品サンプル MESUDVWQ,660,40,60,菓子類
83,2018-04-08,MESUDVWQ,商品サンプル MESUDVWQ,660,5,48,菓子類
